method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543287,0.0,10,0.0,0,0
DQN (no mask),0.527947,0.063916,10.0,0.15,5,2
