method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543287,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.844607,0.073818,10.0,0.3425,0,137
