method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73903,0.0,15,0.0,0,0
"PPO (P3, no constr)",12.186686,2.583743,15.0,1.8771,478,423
