method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.501344,0.071566,10.0,0.0
"PPO (P6, best-fit)",0.530562,0.076469,10.0,0.0
