method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.633722,0.0,10,0.0,0,0
MaskablePPO (P4),0.619086,0.068398,10.0,0.0,0,0
