method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.615936,0.0,10,0.0,0,0
DDQN (no mask),0.599363,0.081562,10.0,0.075,2,1
