method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73899,0.0,15,0.0,0,0
Lagrange PPO,0.709794,0.080868,15.0,0.1042,7,43
