method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.610989,0.105334,10.0,3.9833
Lagrange PPO,0.501124,0.07534,10.0,0.0
