method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.548044,0.0,10,0.0,0,0
MaskablePPO (P4),0.541375,0.053781,10.0,0.0,0,0
