method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.538695,0.0,10,0.0,0,0
Lagrange PPO,0.534979,0.077418,10.0,0.005,0,2
