method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.751347,0.0,15,0.0,0,0
Lagrange PPO,0.716472,0.05599,15.0,0.0979,6,41
