method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.751347,0.0,15,0.0,0,0
DDQN (no mask),0.682037,0.050347,15.0,0.5938,19,24
