method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.535276,0.0,10,0.0,0,0
DDQN (no mask),0.526519,0.075641,10.0,0.025,1,0
