method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.535276,0.0,10,0.0,0,0
DQN (no mask),0.518658,0.074145,10.0,0.05,2,0
