method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.717638,0.0,15,0.0,0,0
DDQN (no mask),0.643194,0.065443,15.0,0.6562,21,29
