method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.717638,0.0,15,0.0,0,0
Lagrange PPO,0.683228,0.072547,15.0,0.0792,2,36
