method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.717638,0.0,15,0.0,0,0
DQN (no mask),0.652536,0.071817,15.0,0.6562,21,30
