method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.717638,0.0,15,0.0,0,0
"PPO (P3, no constr)",12.126148,2.927018,15.0,1.8958,477,433
