method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.717638,0.0,15,0.0,0,0
"PPO (P6, best-fit)",0.669807,0.068196,12.88,0.0103,4,1
