method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.627388,0.110795,10.0,3.9933
Lagrange PPO,0.483967,0.078204,10.0,0.1933
