method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.625555,0.0,10,0.0,0,0
Random (no mask),0.452182,0.310915,3.13,0.8467,254,127
DQN (no mask),0.745584,0.093491,10.0,0.0,0,613
