method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543749,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.866046,0.070731,10.0,0.355,0,142
