method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543749,0.0,10,0.0,0,0
MaskablePPO (P4),0.53653,0.063523,9.95,0.0,0,0
