method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.495401,0.08073,10.0,0.0707
"PPO (P6, best-fit)",0.565721,0.094606,10.0,0.1903
