method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.625555,0.0,10,0.0,0,0
Random (masked),0.576271,0.084739,5.67,0.0,0,0
MaskablePPO (P4),0.626927,0.076066,10.0,0.0,0,0
