method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.633722,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.882531,0.054391,10.0,0.28,0,112
