method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.474982,0.067934,10.0,0.0
"PPO (P6, best-fit)",0.475592,0.0745,10.0,0.0
