method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.495135,0.101424,10.0,0.5823
"PPO (P3, no constr)",0.540553,0.075549,10.0,0.0
