method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.67148,0.0,15,0.0,0,0
Random (masked),0.610794,0.066349,15.0,0.0,0,0
MaskablePPO (P4),0.659731,0.074871,15.0,0.0,0,0
