method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.742478,0.0,15,0.0,0,0
DQN (no mask),0.664611,0.087722,15.0,0.625,20,31
