method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.623755,0.106208,10.0,3.9467
Lagrange PPO,0.473013,0.071589,10.0,0.0867
