method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73903,0.0,15,0.0,0,0
DDQN (no mask),0.671837,0.062586,15.0,0.8125,26,35
