method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.468656,0.297469,2.11,1.0
DDQN (no mask),0.517424,0.074472,10.0,0.0
