method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (masked),0.469241,0.069101,10.0,0.0
MaskablePPO (P4),0.539181,0.075776,10.0,0.0
