method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.437819,0.313534,1.85,1.0
DDQN (no mask),0.523336,0.074575,10.0,0.44
