method,ar_mean,ar_std,placed_mean,repair_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.633722,0.0,10,0.0,0,0
PPO+Repair (P6),0.622824,0.067609,10.0,0.0125,5,0
