method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.619497,0.104791,10.0,3.9133
Lagrange PPO,0.474378,0.074134,10.0,0.11
