method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.625555,0.0,10,0.0,0,0
Random (no mask),0.694552,0.177393,10.0,0.3327,602,756
Lagrange PPO,0.627582,0.07767,10.0,0.0,0,0
