method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.486921,0.107729,10.0,0.5683
"PPO (P3, no constr)",0.540684,0.075325,10.0,0.0
