method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.631038,0.106808,10.0,4.06
Lagrange PPO,0.472431,0.076394,10.0,0.16
