method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.376909,0.192202,2.86,1.0
DQN (no mask),0.462602,0.069401,9.75,0.2133
