method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.613674,0.0,10,0.0,0,0
DQN (no mask),0.594949,0.078711,10.0,0.075,2,1
