method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.613674,0.0,10,0.0,0,0
DDQN (no mask),0.592129,0.083095,10.0,0.0,0,0
