method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.613674,0.0,10,0.0,0,0
Lagrange PPO,0.608202,0.071817,10.0,0.0125,0,5
