method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.616611,0.10256,10.0,3.9667
Lagrange PPO,0.511813,0.075108,10.0,2.1367
