method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.532098,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.875205,0.059868,10.0,0.37,0,148
