method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (masked),0.469742,0.068782,10.0,0.0
MaskablePPO (P4),0.516873,0.077312,10.0,0.0
