method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.532098,0.0,10,0.0,0,0
MaskablePPO (P4),0.522013,0.070054,10.0,0.0,0,0
