method,ar_mean,ar_std,placed_mean,valid_placed_mean,ecus_used_mean,success_rate,cap_viol_rate,conflict_viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.532098,0.0,10,10,10,1.0,0.0,0.0,0,0
MaskablePPO (P4),0.529011,0.071572,10.0,10.0,9.93,1.0,0.0,0.0,0,0
