method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73899,0.0,15,0.0,0,0
DQN (no mask),0.669281,0.0726,15.0,0.7188,23,30
