method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73899,0.0,15,0.0,0,0
"PPO (P6, best-fit)",0.675136,0.066436,12.88,0.0171,7,2
