method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.742478,0.0,15,0.0,0,0
"PPO (P6, best-fit)",0.681474,0.075527,12.97,0.0132,4,1
