method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.742478,0.0,15,0.0,0,0
"PPO (P3, no constr)",11.293587,3.008446,15.0,1.8833,476,428
