method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.742478,0.0,15,0.0,0,0
MaskablePPO (P4),0.67965,0.081955,15.0,0.0,0,0
