method,ar_mean,ar_std,placed_mean,repair_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.626286,0.0,10,0.0,0,0
PPO+Repair (P6),0.612117,0.074335,10.0,0.0025,1,0
