method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.626286,0.0,10,0.0,0,0
MaskablePPO (P4),0.606866,0.074076,10.0,0.0,0,0
