method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.626286,0.0,10,0.0,0,0
DQN (no mask),0.604347,0.072909,10.0,0.05,1,1
