method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.626286,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.886222,0.059934,10.0,0.3,0,120
