method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.63968,0.0,10,0.0,0,0
MaskablePPO (P4),0.622528,0.063799,10.0,0.0,0,0
