method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.63968,0.0,10,0.0,0,0
DDQN (no mask),0.61979,0.065171,10.0,0.075,2,1
