method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73899,0.0,15,0.0,0,0
Lagrange PPO,0.669494,0.089703,15.0,0.0688,11,22
