method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.625481,0.107677,10.0,3.97
Lagrange PPO,0.474696,0.072667,10.0,0.1333
