method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.491062,0.105588,10.0,0.5847
"PPO (P3, no constr)",0.540553,0.075549,10.0,0.0
