method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.538695,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.881909,0.058195,10.0,0.375,0,150
